Timestamp,Pessoas Detectadas,Energia Simulada (W),Observação
2025-06-02 23:08:38,10,1000,Alta ocupação
2025-06-02 23:08:38,9,900,Alta ocupação
2025-06-02 23:08:38,10,1000,Alta ocupação
2025-06-02 23:08:38,9,900,Alta ocupação
2025-06-02 23:08:38,9,900,Alta ocupação
2025-06-02 23:08:38,9,900,Alta ocupação
2025-06-02 23:08:38,9,900,Alta ocupação
2025-06-02 23:08:38,9,900,Alta ocupação
2025-06-02 23:08:38,9,900,Alta ocupação
2025-06-02 23:08:38,9,900,Alta ocupação
2025-06-02 23:08:38,9,900,Alta ocupação
